Reference,Value,Qty,商品名,販売店(販売コード)
R1,2K,1,カーボン抵抗(炭素皮膜抵抗) 1/4W2kΩ,秋月電子(125202)
C1,0.1uF,3,積層セラミックコンデンサー 0.1μF50V X7R 2.54mm,秋月電子(113582)
C2,47uF,1,電解コンデンサー 47μF16V105℃ ルビコンPX,秋月電子(110270)
D1,D,1,整流用ショットキーダイオード 40V1A 1S4,秋月電子(100127)
J1,EXT_CONN,1,ピンヘッダー 2×10 (20P),秋月電子(100078)
J2,DIN41612_03x32_ABC,1,CONN DIN RCPT 96POS PCB RA【09732966801】,マルツ
J3,JST_VH_01x05,1,VHコネクター ベース付ポスト トップ型 4P B4P-VH(LF)(SN),秋月電子(112817)
J4,SCSI BUS,1,ピンソケット (メス) 2×25 (50P),秋月電子(100086)
JP1,WD_PULLUP,1,ピンヘッダー 1×3 (3P),秋月電子(103949)
JP2,VME_MASTER,1,ピンヘッダー 1×2 (2P),秋月電子(108593)
SW1,SW_Push,1,タクトスイッチ,秋月電子(103646)
