Reference,Value,Qty,商品名,販売店(販売コード)
R1,2K,1,カーボン抵抗(炭素皮膜抵抗) 1/4W2kΩ,秋月電子(125202)
C1,0.1uF,1,積層セラミックコンデンサー 0.1μF50V X7R 2.54mm,秋月電子(113582)
C2,47uF,1,電解コンデンサー 47μF16V105℃ ルビコンPX,秋月電子(110270)
D1,D,1,整流用ショットキーダイオード 40V1A 1S4,秋月電子(100127)
JP1,Jumper Select,1,ピンヘッダー 2×3 (6P),秋月電子(116883)
JP2,EXT_CONN,1,ピンヘッダー 1×12 (12P),秋月電子(100167) 40Pを折って使用
J1,DIN41612_03x32_ABC,1,【09034966824】CONN DIN RCPT 96POS,マルツ
J2,DIN41612_03x32_ABC,1,【09034966824】CONN DIN RCPT 96POS,マルツ
J3,SCSI BUS,1,ピンソケット (メス) 2×25 (50P),秋月電子(100086)
RN1,330Ω,1,集合抵抗 8素子 330Ω,秋月電子(114326)
RN2,220Ω,1,集合抵抗 8素子 220Ω,千石電商
RN3,330Ω,1,集合抵抗 4素子 330Ω,秋月電子(116205)
RN4,220Ω,1,集合抵抗 4素子 220Ω,千石電商
RN5,330Ω,1,集合抵抗 8素子 330Ω,秋月電子(114326)
RN6,220Ω,1,集合抵抗 8素子 220Ω,千石電商
